2022-10-05 17:14:01,198 INFO     Camera Started
2022-10-05 17:14:04,474 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:04,619 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:04,701 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:04,771 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:04,846 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:04,901 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:04,975 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,048 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,122 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,190 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,264 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,341 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,437 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,500 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,568 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,626 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,688 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,747 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,819 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,915 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:05,982 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:06,042 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:06,101 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:06,163 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:06,230 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:06,294 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:06,350 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:06,414 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:06,497 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:06,553 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:06,617 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:06,689 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:06,744 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:06,807 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:06,885 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:06,945 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:07,015 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:07,073 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:07,138 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:07,188 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
