Date,Time,Focus,Emotion,Head,Pointing,Waving,Hand Movement,Total
2023-01-02,14:56:01:897,0,0,1,0,0,0,1
2023-01-02,14:56:02:971,0,0,1,0,0,0,1
2023-01-02,14:56:04:052,1,0,1,0,0,0,2
2023-01-02,14:56:05:161,1,1,1,0,0,0,3
2023-01-02,14:56:06:201,1,1,1,0,0,1,4
2023-01-02,14:56:07:306,1,0,1,0,1,1,4
2023-01-02,14:56:08:420,1,0,1,0,1,1,4
2023-01-02,14:56:09:557,1,0,1,0,1,1,4
2023-01-02,14:56:10:663,1,0,1,0,1,1,4
2023-01-02,14:56:12:021,1,0,1,0,1,1,4
2023-01-02,14:56:13:094,1,0,1,0,0,1,3
2023-01-02,14:56:14:222,1,0,1,0,0,0,2
2023-01-02,14:56:15:227,1,0,1,0,0,0,2
2023-01-02,14:56:16:289,1,1,1,0,0,0,3
