Date,Time,Focus,Emotion,Head,Pointing,Waving,Hand Movement
2022-11-28,14:50:08:599,1,0,1,0,0,0
2022-11-28,14:50:08:818,1,0,1,0,0,1
2022-11-28,14:50:09:086,1,0,1,0,0,0
2022-11-28,14:50:09:240,1,0,1,0,0,1
2022-11-28,14:50:09:398,1,0,1,0,0,1
2022-11-28,14:50:09:526,1,0,1,0,0,1
2022-11-28,14:50:09:667,1,0,1,0,0,1
2022-11-28,14:50:09:809,1,0,1,0,0,1
2022-11-28,14:50:09:935,1,0,1,0,0,1
2022-11-28,14:50:10:075,1,0,1,0,0,1
2022-11-28,14:50:10:232,1,0,1,0,0,1
2022-11-28,14:50:10:373,1,0,1,0,0,1
2022-11-28,14:50:10:498,1,0,1,0,0,1
2022-11-28,14:50:10:641,1,0,1,0,0,1
2022-11-28,14:50:10:783,0,0,1,0,0,0
2022-11-28,14:50:10:924,0,0,1,0,0,1
2022-11-28,14:50:11:053,1,0,1,0,0,1
2022-11-28,14:50:11:195,1,0,1,0,0,0
2022-11-28,14:50:11:338,1,0,1,0,0,1
2022-11-28,14:50:11:463,1,0,1,0,0,0
2022-11-28,14:50:11:618,1,0,1,0,0,0
2022-11-28,14:50:11:777,1,0,1,0,0,1
2022-11-28,14:50:11:918,1,0,1,0,0,1
2022-11-28,14:50:12:060,1,0,1,0,0,0
2022-11-28,14:50:12:186,1,0,1,0,0,0
2022-11-28,14:50:12:328,1,0,1,0,0,0
2022-11-28,14:50:12:470,1,0,1,0,0,1
2022-11-28,14:50:12:612,1,0,1,0,0,1
2022-11-28,14:50:12:752,1,0,1,0,0,1
2022-11-28,14:50:12:895,1,0,1,0,0,0
2022-11-28,14:50:13:051,1,0,1,0,0,0
2022-11-28,14:50:13:210,1,0,1,0,0,0
2022-11-28,14:50:13:336,1,0,1,0,0,0
2022-11-28,14:50:13:509,1,0,1,0,0,0
2022-11-28,14:50:13:667,1,0,1,0,0,0
2022-11-28,14:50:13:822,1,0,1,0,0,1
2022-11-28,14:50:13:993,1,0,1,0,0,1
2022-11-28,14:50:14:136,1,0,1,0,0,1
