Date,Time,Focus,Emotion,Head
2022-10-28,13:23:21:339,1,0,1
2022-10-28,13:23:22:185,1,0,1
2022-10-28,13:23:22:257,1,0,1
2022-10-28,13:23:22:337,1,0,1
2022-10-28,13:23:22:395,1,0,1
2022-10-28,13:23:22:473,1,0,1
2022-10-28,13:23:22:552,1,0,1
2022-10-28,13:23:22:637,1,0,1
2022-10-28,13:23:22:724,1,0,1
2022-10-28,13:23:22:816,1,0,1
2022-10-28,13:23:22:867,1,0,1
2022-10-28,13:23:22:950,1,0,1
2022-10-28,13:23:23:022,1,0,1
2022-10-28,13:23:23:076,1,0,1
2022-10-28,13:23:23:153,1,0,1
2022-10-28,13:23:23:227,1,0,1
2022-10-28,13:23:23:353,1,0,1
2022-10-28,13:23:23:431,1,0,1
2022-10-28,13:23:23:515,0,0,1
2022-10-28,13:23:23:582,0,0,1
2022-10-28,13:23:23:676,1,0,1
2022-10-28,13:23:23:758,1,0,1
2022-10-28,13:23:23:843,1,0,1
2022-10-28,13:23:23:921,1,0,1
2022-10-28,13:23:24:005,1,0,1
2022-10-28,13:23:24:079,1,0,1
2022-10-28,13:23:24:163,1,0,1
2022-10-28,13:23:24:241,1,1,1
2022-10-28,13:23:24:331,1,1,1
2022-10-28,13:23:24:409,1,1,1
2022-10-28,13:23:24:486,1,1,1
2022-10-28,13:23:24:564,1,0,1
2022-10-28,13:23:24:649,1,0,1
2022-10-28,13:23:24:719,1,0,1
2022-10-28,13:23:24:801,1,0,1
2022-10-28,13:23:24:871,1,0,1
2022-10-28,13:23:24:950,1,0,1
2022-10-28,13:23:25:030,1,0,1
2022-10-28,13:23:25:108,1,0,1
2022-10-28,13:23:25:193,1,0,1
2022-10-28,13:23:25:278,1,0,1
2022-10-28,13:23:25:365,1,0,1
2022-10-28,13:23:25:445,1,0,1
2022-10-28,13:23:25:527,1,0,1
2022-10-28,13:23:25:609,1,0,1
2022-10-28,13:23:25:709,1,0,1
2022-10-28,13:23:25:800,1,0,1
2022-10-28,13:23:25:897,1,0,1
2022-10-28,13:23:25:988,1,0,1
2022-10-28,13:23:26:073,1,0,1
2022-10-28,13:23:26:179,1,0,1
2022-10-28,13:23:26:262,1,0,1
2022-10-28,13:23:26:355,1,0,1
2022-10-28,13:23:26:441,1,0,1
2022-10-28,13:23:26:531,1,0,1
2022-10-28,13:23:26:613,1,0,1
2022-10-28,13:23:26:707,1,0,1
2022-10-28,13:23:26:818,1,0,1
2022-10-28,13:23:26:915,1,0,1
2022-10-28,13:23:27:018,1,0,1
2022-10-28,13:23:27:093,1,0,1
2022-10-28,13:23:27:189,1,0,1
2022-10-28,13:23:27:294,1,0,1
2022-10-28,13:23:27:411,1,0,1
2022-10-28,13:23:27:481,1,0,1
2022-10-28,13:23:27:561,1,0,1
2022-10-28,13:23:27:685,1,0,1
2022-10-28,13:23:27:791,1,0,1
2022-10-28,13:23:27:877,1,0,1
2022-10-28,13:23:27:978,1,0,1
2022-10-28,13:23:28:059,1,0,1
2022-10-28,13:23:28:175,1,0,1
2022-10-28,13:23:28:322,1,0,1
2022-10-28,13:23:28:405,1,0,1
2022-10-28,13:23:28:511,1,0,1
2022-10-28,13:23:28:580,1,0,1
2022-10-28,13:23:28:681,1,0,1
2022-10-28,13:23:28:758,1,0,1
2022-10-28,13:23:28:847,1,0,1
2022-10-28,13:23:28:933,1,0,1
2022-10-28,13:23:29:032,1,0,1
2022-10-28,13:23:29:140,1,0,1
2022-10-28,13:23:29:230,1,0,1
2022-10-28,13:23:29:321,1,0,1
2022-10-28,13:23:29:403,1,0,1
2022-10-28,13:23:29:505,1,0,1
2022-10-28,13:23:29:582,1,0,1
2022-10-28,13:23:29:686,1,0,1
2022-10-28,13:23:29:777,1,0,1
2022-10-28,13:23:29:863,1,0,1
2022-10-28,13:23:29:958,1,0,1
2022-10-28,13:23:30:037,1,0,1
2022-10-28,13:23:30:123,1,0,1
2022-10-28,13:23:30:209,1,0,1
2022-10-28,13:23:30:295,1,0,1
2022-10-28,13:23:30:385,1,0,1
2022-10-28,13:23:30:484,1,0,1
2022-10-28,13:23:30:573,1,0,1
2022-10-28,13:23:30:698,1,0,1
2022-10-28,13:23:30:788,1,0,1
2022-10-28,13:23:30:882,1,0,1
2022-10-28,13:23:30:983,1,0,1
2022-10-28,13:23:31:066,1,0,1
2022-10-28,13:23:31:149,1,0,1
2022-10-28,13:23:31:248,1,0,1
2022-10-28,13:23:31:359,1,0,1
