Date,Time,Focus,Emotion,Head,Total
2022-10-27,21:04:32:432,0,0,0,0
2022-10-27,21:04:33:432,0,0,0,0
2022-10-27,21:04:34:442,0,0,0,0
2022-10-27,21:04:35:457,0,0,0,0
2022-10-27,21:04:36:458,0,0,0,0
2022-10-27,21:04:37:474,0,0,0,0
2022-10-27,21:04:38:489,0,0,0,0
2022-10-27,21:04:39:510,0,0,0,0
2022-10-27,21:04:40:511,0,0,0,0
2022-10-27,21:04:41:528,0,0,0,0
2022-10-27,21:04:42:530,0,0,0,0
2022-10-27,21:04:43:551,0,0,0,0
2022-10-27,21:04:44:587,0,0,0,0
2022-10-27,21:04:45:598,0,0,0,0
2022-10-27,21:04:46:636,0,0,0,0
2022-10-27,21:04:47:637,0,0,0,0
2022-10-27,21:04:48:655,0,0,0,0
2022-10-27,21:04:49:660,0,0,0,0
2022-10-27,21:04:50:706,0,0,0,0
2022-10-27,21:04:51:743,0,0,0,0
2022-10-27,21:04:52:781,0,0,0,0
